sa4_name,name,x,y
Sutherland,KOOLANGARRA RESERVE,151.05616528580157,-34.00978966199891
Sutherland,BILL WAKEHAM RESERVE,151.0575510718746,-33.99986295025932
Sutherland,SCYLLA BAY OVAL,151.06845253568255,-33.99930014740917
Sutherland,CARINA BAY HORSE ARENA,151.0708890613805,-34.004640115656976
Sutherland,COMO COMMUNITY CHURCH,151.06086729617076,-34.00840184927557
Sutherland,OSTER BAY CHRISTIAN CHURCH,151.07903205766573,-34.003210862863895
Sutherland,THE POINT PRE-SCHOOL,151.07413888041418,-34.00138391348746
Sutherland,JANNALI CONGREGATIONAL CHURCH,151.06342338403977,-34.01899368813352
Sutherland,,151.0195161530133,-34.00861331853957
Sutherland,,151.06912106910352,-34.020866424742955
Sutherland,,151.05997105060501,-34.0246701102036
Sutherland,JANNALI OVAL,151.06260737509692,-34.02070144255569
Sutherland,,151.0752213889591,-34.03849774855985
Sutherland,,151.07779686606523,-34.04128592226621
Sutherland,BUCKLE RESERVE,151.0035819164537,-34.0122690539418
Sutherland,SUTHERLAND PRESBYTERIAN CHURCH,151.06350734058617,-34.032888278144725
Sutherland,,151.0617522023026,-34.03315921458974
Sutherland,ST JOHN THE BAPTIST CHURCH,151.06122034216222,-34.03205789967096
Sutherland,,151.0595548799985,-34.03176231217925
Sutherland,SHIRELIVE,151.06039883013995,-34.03067326955202
Sutherland,BILLA ROAD OVAL,151.02687809021018,-34.01296037412645
Sutherland,GRAYS POINT COMMUNITY CHURCH,151.07891670859337,-34.057415618029886
Sutherland,GRAYS POINT OVAL,151.0727040975306,-34.057349293414774
Sutherland,KIRRAWEE OVAL,151.06631990555363,-34.0397625839347
Sutherland,MANSION POINT PARK,151.08825361709515,-34.06011365919544
Sutherland,,151.0853156095847,-34.05305612995852
Sutherland,COONONG CREEK BUSHLAND,151.08808132022364,-34.0474304077841
Sutherland,GYMEA BAY OVAL,151.08194583491786,-34.04561757742059
Sutherland,PRESIDENT PRIVATE HOSPITAL,151.07950367049494,-34.03657851548849
Sutherland,MENAI FIRE STATION,151.01213436035385,-34.01503956005305
Sutherland,,151.0813410800855,-34.028809048855244
Sutherland,KAREELA OVAL,151.0844746095107,-34.025815616905746
Sutherland,KAREELA GOLF COURSE,151.0874835479959,-34.021273336001684
Sutherland,SYLVANIA HOCKEY PARK,151.09339040757018,-34.02362467749096
Sutherland,,151.09555417779842,-34.01366071195539
Sutherland,,151.0954089974721,-34.014145089361264
Sutherland,POWER PLACE RESERVE,151.0069652008841,-34.01662486639705
Sutherland,WARD CRESCENT RESERVE,151.08997260357836,-34.001945883339346
Sutherland,CARAVAN HEAD BUSHLAND RESERVE,151.08199186459308,-33.999012179279575
Sutherland,OYSTER BAY OVAL,151.08337083874133,-34.0058314369185
Sutherland,OYSTER BAY POST OFFICE,151.0812246377634,-34.00716162930185
Sutherland,UNITING CHURCH SYLVANIA,151.11007580728557,-34.00937016538602
Sutherland,BALD FACE POINT RESERVE,151.10282223565812,-34.00055519362669
Sutherland,,151.10142259936003,-34.007002186931764
Sutherland,,151.12161590049698,-34.018052425109715
Sutherland,GWAWLEY PARK,151.11959055167085,-34.02239352800904
Sutherland,COREA STREET OVAL,151.09920956372503,-34.02185044560292
Sutherland,SYDNEY TOURIST PARK,151.10440639489875,-34.027152756545235
Sutherland,MIRANDA PARK,151.09517325349043,-34.03187239891396
Sutherland,SEYMOUR SHAW PARK,151.10066724107193,-34.03027303660559
Sutherland,ST LUKES CHURCH,151.1038541600694,-34.03466954641362
Sutherland,SUTHERLAND HOSPITAL,151.11421755098846,-34.03706153084631
Sutherland,BOTANY BAY WATER POLICE,151.12484070145004,-34.00205067283463
Sutherland,,151.10395292534335,-34.031384480763336
Sutherland,,151.1003937139494,-34.032969966456584
Sutherland,,151.10681304442696,-34.03944750014543
Sutherland,WONGA ROAD RESERVE,151.10393544502625,-34.04827037734801
Sutherland,GLEN MCGRATH OVAL,151.12020190462906,-34.04434617116967
Sutherland,DE LA SALLE CATHOLIC COLLEGE CARINGBAH,151.12204982900002,-34.04445661672473
Sutherland,,151.12039689743622,-34.03876486619812
Sutherland,,151.1223546669018,-34.05175537578154
Sutherland,ROBIN PLACE RESERVE,151.12493317312706,-34.048487547698095
Sutherland,BEAUFORD PARK,151.11098361686393,-34.06001443738231
Sutherland,LILLI PILLI OVAL,151.11934752055558,-34.0626141883994
Sutherland,WILLARONG POINT RESERVE,151.106813357939,-34.061135481200495
Sutherland,LILLI PILLI POINT RESERVE,151.11640452020893,-34.070338252583305
Sutherland,DEEBAN RESERVE,151.1319644476543,-34.07694481364793
Sutherland,,151.13849566599546,-34.072044743380864
Sutherland,BURRANEER PARK,151.13168400080912,-34.05389413623934
Sutherland,WOOLOOWARE GOLF COURSE,151.1376860036501,-34.041758001319806
Sutherland,JENOLA FIELD,151.13411393826274,-34.04555682833931
Sutherland,DWYER RESERVE,151.13152017505072,-34.04646674401412
Sutherland,WOOLOOWARE OVAL,151.14187260293005,-34.049310037964084
Sutherland,SOLANDER PLAYING FIELDS,151.13641178294543,-34.03759526366384
Sutherland,CAPTAIN COOK PLAYING FIELDS,151.13640530160063,-34.039691248426514
Sutherland,CRONULLA CABINS,151.13343531137124,-34.04656164597074
Sutherland,KENDALL STREET RESERVE,151.13002294847513,-33.999512620160814
Sutherland,SCOTT PARK,151.13580090519605,-34.00279035296613
Sutherland,SANS SOUCI PARK,151.12657019373054,-34.00378582986213
Sutherland,CRONULLA GOLF COURSE,151.1518843914503,-34.04102043605437
Sutherland,WANDA RESERVE,151.16347767750287,-34.04114584269272
Sutherland,TONKIN PARK,151.1499574045545,-34.05423153215198
Sutherland,AUSTRALIA ROAD BUSHLAND RESERVE,151.00876890568523,-34.02981888612166
Sutherland,CRONULLA PARK,151.1538805890471,-34.05540987346872
Sutherland,,151.15234514005442,-34.057564169112375
Sutherland,,151.15228535986725,-34.04929077461641
Sutherland,SHELLY PARK,151.15445942029706,-34.0637799005816
Sutherland,DAROOK PARK,151.147588645965,-34.071071972445274
Sutherland,SOUTH CRONULLA UNITING CHURCH,151.15242826296432,-34.064997504610126
Sutherland,GUNNAMATTA PARK,151.14989244288475,-34.05902766426814
Sutherland,BOMBORA AVENUE RESERVE,151.15577992220508,-34.08771852188818
Sutherland,BUNDEENA MEMORIAL RESERVE,151.15221125424617,-34.083118592863094
Sutherland,,151.15162671330427,-34.084733193769196
Sutherland,CAPE BAILY LIGHTHOUSE,151.2221845917497,-34.03514455663149
Sutherland,KURNELL POST OFFICE,151.2063196377564,-34.008722759894816
Sutherland,BONNA POINT RESERVE,151.19224127745457,-34.008358777930546
Sutherland,CAPTAIN COOKS LANDING PLACE HISTORIC SITE,151.21747638659835,-34.004827551820256
Sutherland,MARTON PARK,151.21175609453212,-34.01146538785925
Sutherland,CAPTAIN COOK OBELISK,151.21755316291072,-34.004647430065084
Sutherland,SOLANDER MONUMENT,151.2208289863753,-34.00272409138686
Sutherland,ST PAULS ANGLICAN CHURCH,151.0065056533275,-34.033460189220115
Sutherland,HEATHCOTE SPORTS GROUND,151.0054885106942,-34.092179267361175
Sutherland,CHRISTIAN REFORMED CHURCH,151.00923358082548,-34.03607219403735
Sutherland,WORONORA HEIGHTS OVAL,151.02481719953985,-34.03431719883051
Sutherland,HEATHCOTE RAILWAY STATION,151.0080397665253,-34.0881473323322
Sutherland,HOLMLEA PLACE RESERVE,151.00714842396437,-34.05103100589562
